Country,City,Dish Name,Dish Details,Type,Avg Price (USD),Best For
Bahrain,Hamad Town,Balaleet,Sweet vermicelli with eggs,Breakfast Dish,3,Breakfast
Bahrain,Hamad Town,Machboos,Spiced rice with chicken,Main Dish,7,Dinner
Bahrain,Hamad Town,Harees,Wheat porridge with lamb,Main Dish,5,Lunch
Bahrain,Hamad Town,Thareed,Bread in vegetable and meat broth,Main Dish,6,Lunch
Bahrain,Hamad Town,Muhammar,Sweet rice with saffron,Main Dish,5,Lunch
Bahrain,Hamad Town,Luqaimat,Fried dough with date syrup,Dessert,2,Snack
Bahrain,Hamad Town,Samboosa,Pastries with spiced filling,Appetizer,2,Snack
Bahrain,Hamad Town,Khanfaroosh,Sweet fried dough,Dessert,2,Snack
Bahrain,Hamad Town,Karak Tea,Spiced milky tea,Dessert,1,Snack
Bahrain,Isa Town,Balaleet,Sweet noodles with saffron,Breakfast Dish,3,Breakfast
Bahrain,Isa Town,Machboos,Rice with lamb and baharat,Main Dish,7,Dinner
Bahrain,Isa Town,Kebab,Grilled spiced meat skewers,Street Food,4,Dinner
Bahrain,Isa Town,Harees,Wheat and chicken porridge,Main Dish,5,Lunch
Bahrain,Isa Town,Thareed,Bread in lamb broth,Main Dish,6,Lunch
Bahrain,Isa Town,Muhammar,Sweet rice with dates,Main Dish,5,Lunch
Bahrain,Isa Town,Luqaimat,Fried dough with honey,Dessert,2,Snack
Bahrain,Isa Town,Samboosa,Pastries with meat,Appetizer,2,Snack
Bahrain,Isa Town,Qahwa,Arabic coffee with spices,Dessert,1,Snack
Bahrain,Manama,Balaleet,Sweet vermicelli noodles with cardamom and eggs,Breakfast Dish,3,Breakfast
Bahrain,Manama,Machboos,"Spiced rice with chicken or fish, baharat blend",Main Dish,7,Dinner
Bahrain,Manama,Harees,Wheat porridge with meat and ghee,Main Dish,5,Dinner
Bahrain,Manama,Muhammar,Sweet rice with dates and saffron,Main Dish,5,Lunch
Bahrain,Manama,Thareed,Bread soaked in lamb broth with spices,Main Dish,6,Lunch
Bahrain,Manama,Khanfaroosh,Fried dough with saffron and sugar,Dessert,2,Snack
Bahrain,Manama,Samboosa,Pastries with spiced meat or cheese,Appetizer,2,Snack
Bahrain,Manama,Luqaimat,Fried dough balls with date syrup,Dessert,2,Snack
Bahrain,Manama,Qahwa,Arabic coffee with cardamom,Dessert,1,Snack
Bahrain,Muharraq,Balaleet,Sweet noodles with saffron,Breakfast Dish,3,Breakfast
Bahrain,Muharraq,Machboos with Fish,Spiced rice with fresh hammour,Main Dish,8,Dinner
Bahrain,Muharraq,Grilled Hammour,Fresh fish with baharat spices,Main Dish,7,Dinner
Bahrain,Muharraq,Jireesh,Cracked wheat with chicken and spices,Main Dish,5,Lunch
Bahrain,Muharraq,Thareed,Bread in fish broth,Main Dish,6,Lunch
Bahrain,Muharraq,Khanfaroosh,Sweet fried dough with rose water,Dessert,2,Snack
Bahrain,Muharraq,Samboosa,Pastries with fish filling,Appetizer,2,Snack
Bahrain,Muharraq,Rangina,Dates with flour and butter sauce,Dessert,3,Snack
Bahrain,Muharraq,Karak Tea,Spiced tea with milk,Dessert,1,Snack
Bahrain,Riffa,Machboos,Rice with lamb and dried lime,Main Dish,7,Dinner
Bahrain,Riffa,Kebab,Grilled meat skewers with spices,Street Food,4,Dinner
Bahrain,Riffa,Harees,Wheat and lamb porridge,Main Dish,5,Lunch
Bahrain,Riffa,Muhammar,Sweet rice with dates,Main Dish,5,Lunch
Bahrain,Riffa,Thareed,Bread in spiced meat broth,Main Dish,6,Lunch
Bahrain,Riffa,Luqaimat,Fried dough with honey,Dessert,2,Snack
Bahrain,Riffa,Samboosa,Pastries with cheese or meat,Appetizer,2,Snack
Bahrain,Riffa,Khanfaroosh,Fried dough with saffron,Dessert,2,Snack
Bahrain,Riffa,Qahwa,Cardamom coffee,Dessert,1,Snack
Croatia,Dubrovnik,Pašticada,Slow-cooked beef with sweet-sour sauce,Main Dish,12,Dinner
Croatia,Dubrovnik,Crni Rižot,Squid ink black risotto,Main Dish,9,Dinner
Croatia,Dubrovnik,Šporki Makaruli,Pasta with beef in cinnamon sauce,Main Dish,10,Dinner
Croatia,Dubrovnik,Buzara,Mussels in wine and garlic sauce,Main Dish,8,Dinner
Croatia,Dubrovnik,Stonske Školjke,Oysters from Ston,Appetizer,6,Lunch
Croatia,Dubrovnik,Zelena Menestra,Vegetable and meat stew,Main Dish,7,Lunch
Croatia,Dubrovnik,Rožata,Custard with rose liqueur,Dessert,4,Snack
Croatia,Dubrovnik,Fritule,Fried dough with rum and citrus,Dessert,3,Snack
Croatia,Dubrovnik,Kotonjata,Quince jelly candy,Dessert,2,Snack
Croatia,Osijek,Slavonska Pogača,Flatbread with lard,Breakfast Dish,3,Breakfast
Croatia,Osijek,Čobanac,Spicy shepherd’s stew with meat,Main Dish,8,Dinner
Croatia,Osijek,Sarma,Cabbage rolls with minced meat,Main Dish,6,Dinner
Croatia,Osijek,Gulaš,Beef stew with paprika,Main Dish,7,Dinner
Croatia,Osijek,Fiš Paprikaš,Fish stew with paprika,Main Dish,7,Lunch
Croatia,Osijek,Ćevapi,Grilled minced meat sausages,Main Dish,6,Lunch
Croatia,Osijek,Kulen,Spicy cured sausage,Appetizer,5,Snack
Croatia,Osijek,Šnenokle,Floating meringue dessert,Dessert,3,Snack
Croatia,Osijek,Knedle s Šljivama,Plum dumplings,Dessert,4,Snack
Croatia,Pula,Fritaja s Šparogama,Asparagus omelette,Breakfast Dish,5,Breakfast
Croatia,Pula,Fuži s Tartufima,Pasta with Istrian truffles,Main Dish,12,Dinner
Croatia,Pula,Pljukanci,Hand-rolled pasta with sauce,Main Dish,7,Dinner
Croatia,Pula,Buzara,Shellfish in wine sauce,Main Dish,9,Dinner
Croatia,Pula,Boškarin,Istrian ox stew,Main Dish,11,Dinner
Croatia,Pula,Supa,Red wine soup with bread,Appetizer,4,Dinner
Croatia,Pula,Brodet,Fish stew with garlic and wine,Main Dish,8,Lunch
Croatia,Pula,Maneštra,Vegetable and bean soup,Main Dish,6,Lunch
Croatia,Pula,Kroštule,Fried sweet dough strips,Dessert,2,Snack
Croatia,Rijeka,Fuži s Tartufima,Pasta with truffle sauce,Main Dish,12,Dinner
Croatia,Rijeka,Bakalar na Bijelo,Cod in garlic sauce,Main Dish,9,Dinner
Croatia,Rijeka,Šurlice,Handmade pasta with meat sauce,Main Dish,8,Dinner
Croatia,Rijeka,Brodet,Fish stew with polenta,Main Dish,8,Lunch
Croatia,Rijeka,Jota,Bean and sauerkraut stew,Main Dish,6,Lunch
Croatia,Rijeka,Sardele na Savor,Marinated sardines,Appetizer,5,Lunch
Croatia,Rijeka,Kroštule,Fried twisted pastries,Dessert,2,Snack
Croatia,Rijeka,Presnac,Cheese and egg pastry,Dessert,4,Snack
Croatia,Rijeka,Rakija,Fruit brandy,Dessert,3,Snack
Croatia,Šibenik,Pašticada,Beef stew with gnocchi,Main Dish,12,Dinner
Croatia,Šibenik,Crni Rižot,Squid ink risotto,Main Dish,9,Dinner
Croatia,Šibenik,Gregada,Fish stew with potatoes,Main Dish,8,Dinner
Croatia,Šibenik,Janjetina,Spit-roasted lamb,Main Dish,14,Dinner
Croatia,Šibenik,Skampi na Buzaru,Shrimp in wine sauce,Main Dish,10,Dinner
Croatia,Šibenik,Soparnik,Swiss chard pie,Main Dish,5,Lunch
Croatia,Šibenik,Viška Pogača,Anchovy and onion bread,Main Dish,6,Lunch
Croatia,Šibenik,Rožata,Custard pudding with rose liqueur,Dessert,4,Snack
Croatia,Šibenik,Fritule,Fried dough with raisins,Dessert,3,Snack
Croatia,Split,Pašticada,Beef stewed in wine with gnocchi,Main Dish,12,Dinner
Croatia,Split,Crni Rižot,Black risotto with squid ink,Main Dish,9,Dinner
Croatia,Split,Gregada,Fish stew with potatoes,Main Dish,8,Dinner
Croatia,Split,Janjetina,Roast lamb on a spit,Main Dish,14,Dinner
Croatia,Split,Brudet,Fish stew with polenta,Main Dish,8,Lunch
Croatia,Split,Soparnik,Swiss chard pie baked in ashes,Main Dish,5,Lunch
Croatia,Split,Salata od Hobotnice,Octopus salad with olive oil,Appetizer,6,Lunch
Croatia,Split,Rožata,Rose liqueur custard pudding,Dessert,4,Snack
Croatia,Split,Fritule,Fried dough balls with raisins,Dessert,3,Snack
Croatia,Trogir,Pašticada,Beef in sweet-sour sauce with gnocchi,Main Dish,12,Dinner
Croatia,Trogir,Crni Rižot,Black squid ink risotto,Main Dish,9,Dinner
Croatia,Trogir,Gregada,Fish and potato stew,Main Dish,8,Dinner
Croatia,Trogir,Soparnik,Chard pie baked in ashes,Main Dish,5,Lunch
Croatia,Trogir,Brudet,Fish stew with polenta,Main Dish,8,Lunch
Croatia,Trogir,Salata od Hobotnice,Octopus salad,Appetizer,6,Lunch
Croatia,Trogir,Rafiol,Sweet ravioli with almond filling,Dessert,3,Snack
Croatia,Trogir,Rožata,Rose-flavored custard,Dessert,4,Snack
Croatia,Trogir,Fritule,Fried dough balls,Dessert,3,Snack
Croatia,Varaždin,Varaždinski Klipići,Crescent rolls,Breakfast Dish,2,Breakfast
Croatia,Varaždin,Mlinci s Puretinom,Flatbread with turkey,Main Dish,8,Dinner
Croatia,Varaždin,Špek Fileki,Pasta with bacon,Main Dish,6,Dinner
Croatia,Varaždin,Zagorski Štrukli,Cheese-filled dough pockets,Main Dish,5,Lunch
Croatia,Varaždin,Gibanica,Layered cheese pastry,Main Dish,6,Lunch
Croatia,Varaždin,Bučnica,Pumpkin strudel,Main Dish,5,Lunch
Croatia,Varaždin,Turoš,Spiced cottage cheese spread,Appetizer,3,Snack
Croatia,Varaždin,Kremšnita,Custard cake,Dessert,3,Snack
Croatia,Varaždin,Medenjaci,Honey gingerbread,Dessert,2,Snack
Croatia,Zadar,Pašticada,Beef stew with prunes and wine,Main Dish,12,Dinner
Croatia,Zadar,Janjetina ispod Peke,Lamb cooked under a bell,Main Dish,14,Dinner
Croatia,Zadar,Crni Rižot,Black squid ink risotto,Main Dish,9,Dinner
Croatia,Zadar,Brudet,Mixed fish stew with polenta,Main Dish,8,Lunch
Croatia,Zadar,Ninski Šokol,Cured pork neck,Appetizer,6,Lunch
Croatia,Zadar,Soparnik,Chard-filled flatbread,Main Dish,5,Lunch
Croatia,Zadar,Paški Sir,Salty sheep cheese from Pag,Appetizer,5,Snack
Croatia,Zadar,Maraschino,Cherry liqueur,Dessert,4,Snack
Croatia,Zadar,Fritule,Fried dough balls,Dessert,3,Snack
Croatia,Zagreb,Fritaja,Omelette with seasonal herbs,Breakfast Dish,4,Breakfast
Croatia,Zagreb,Zagrebački Odrezak,Veal cutlet stuffed with ham and cheese,Main Dish,10,Dinner
Croatia,Zagreb,Čobanac,Spicy meat stew with paprika,Main Dish,8,Dinner
Croatia,Zagreb,Mlinci,Thin dried flatbread with roast meat,Main Dish,7,Dinner
Croatia,Zagreb,Zagorski Štrukli,"Dough pockets with cheese, baked or boiled",Main Dish,5,Lunch
Croatia,Zagreb,Punjena Paprika,Peppers stuffed with minced meat and rice,Main Dish,7,Lunch
Croatia,Zagreb,Špek Fileki,Pasta with bacon and cream,Main Dish,6,Lunch
Croatia,Zagreb,Kremšnita,Custard cream cake from Samobor,Dessert,3,Snack
Croatia,Zagreb,Orehnjača,Walnut roll pastry,Dessert,3,Snack
Egypt,Alexandria,Foul Iskandarani,"Fava beans with tomatoes, onions, and spices",Breakfast Dish,2,Breakfast
Egypt,Alexandria,Sayadeya,"Fish stew with rice, tomatoes, and onions",Main Dish,5,Dinner
Egypt,Alexandria,Grilled Seabass,Fresh fish grilled with herbs and lemon,Main Dish,7,Dinner
Egypt,Alexandria,Clams Soup,Spiced broth with fresh clams,Appetizer,3,Dinner
Egypt,Alexandria,Makaroni Bechamel,Baked pasta with meat and creamy sauce,Main Dish,5,Dinner
Egypt,Alexandria,Kebdet Eskandarani,Pan-fried liver with spices and peppers,Main Dish,4,Lunch
Egypt,Alexandria,Sambousak,Fried pastries with cheese or meat filling,Appetizer,2,Snack
Egypt,Alexandria,Basbousa,Semolina cake soaked in syrup,Dessert,2,Snack
Egypt,Alexandria,Roz Bel Laban,Rice pudding with cinnamon and nuts,Dessert,2,Snack
Egypt,Aswan,Ful Nabed,Fava bean soup with herbs,Breakfast Dish,2,Breakfast
Egypt,Aswan,Feteer Bel Asal,Pastry with honey topping,Dessert,3,Breakfast
Egypt,Aswan,Kebab Halla,Beef stew cooked in a pot with onions and spices,Main Dish,5,Dinner
Egypt,Aswan,Tagine,Fish or meat baked with vegetables in a clay pot,Main Dish,6,Dinner
Egypt,Aswan,Molokhia,Jute leaf stew with garlic and coriander,Main Dish,4,Dinner
Egypt,Aswan,Kamounia,Spiced liver and cumin stew,Main Dish,4,Lunch
Egypt,Aswan,Halawa,Sesame paste sweet with nuts,Dessert,2,Snack
Egypt,Aswan,Sambousak Bel Geebna,Cheese-filled fried pastries,Appetizer,2,Snack
Egypt,Aswan,Shai Bel Na’na,"Mint tea, often served with meals",Dessert,1,Snack
Egypt,Cairo,Ful Medames,"Slow-cooked fava beans with garlic, lemon, and olive oil",Breakfast Dish,1,Breakfast
Egypt,Cairo,Feteer Meshaltet,Layered pastry with sweet or savory fillings,Main Dish,3,Breakfast
Egypt,Cairo,Molokhia,"Green soup made from jute leaves, served with rabbit or chicken",Main Dish,4,Dinner
Egypt,Cairo,Hamam Mahshi,Stuffed pigeon with rice or freekeh,Main Dish,6,Dinner
Egypt,Cairo,Mahshi,Vegetables like zucchini or peppers stuffed with rice and meat,Main Dish,4,Dinner
Egypt,Cairo,Koshari,"Lentils, rice, pasta, and crispy onions with spicy tomato sauce",Street Food,2,Lunch
Egypt,Cairo,Shawarma,Sliced meat in pita bread with tahini and vegetables,Street Food,3,Lunch
Egypt,Cairo,Taameya,"Egyptian falafel made from fava beans, served with tahini",Street Food,1,Snack
Egypt,Cairo,Umm Ali,"Bread pudding with nuts, raisins, and cream",Dessert,2,Snack
Egypt,Fayoum,Aish Baladi,Traditional flatbread,Breakfast Dish,1,Breakfast
Egypt,Fayoum,Ful,Fava beans with oil and spices,Breakfast Dish,1,Breakfast
Egypt,Fayoum,Duck Roast,Roasted duck with garlic and spices,Main Dish,6,Dinner
Egypt,Fayoum,Molokhia,Jute leaf stew with rabbit,Main Dish,4,Dinner
Egypt,Fayoum,Roz Meammar,Creamy baked rice,Main Dish,3,Dinner
Egypt,Fayoum,Feseekh,Fermented fish with onions,Appetizer,4,Lunch
Egypt,Fayoum,Keshk,Fermented yogurt and wheat dish,Main Dish,3,Lunch
Egypt,Fayoum,Taameya,Fava bean falafel,Street Food,1,Snack
Egypt,Fayoum,Halawa,Sesame sweet with honey,Dessert,2,Snack
Egypt,Giza,Ful Sandwich,Fava beans in pita with salad,Street Food,1,Breakfast
Egypt,Giza,Kofta,Grilled minced meat skewers,Main Dish,4,Dinner
Egypt,Giza,Macaroni Bil Lahm,Pasta with minced meat and tomato sauce,Main Dish,4,Dinner
Egypt,Giza,Batates Mahshiya,Potatoes stuffed with spiced meat,Main Dish,3,Dinner
Egypt,Giza,Hawawshi,"Spiced meat stuffed in bread, baked or grilled",Street Food,2,Lunch
Egypt,Giza,Roz Bel Sharia,Rice with vermicelli,Main Dish,2,Lunch
Egypt,Giza,Baklava,Layered pastry with nuts and syrup,Dessert,3,Snack
Egypt,Giza,Sahlab,Warm milk drink with nuts and cinnamon,Dessert,2,Snack
Egypt,Giza,Taameya Sandwich,Fava bean falafel in bread with tahini,Street Food,2,Snack
Egypt,Hurghada,Feteer,Flaky pastry with cheese or meat,Main Dish,3,Breakfast
Egypt,Hurghada,Grilled Mullet,Fresh Red Sea fish with garlic and spices,Main Dish,7,Dinner
Egypt,Hurghada,Seafood Tagine,Fish and shrimp baked with vegetables,Main Dish,8,Dinner
Egypt,Hurghada,Shrimp Soup,Spicy broth with fresh shrimp,Appetizer,4,Dinner
Egypt,Hurghada,Mahshi Kromb,Cabbage leaves stuffed with rice,Main Dish,4,Dinner
Egypt,Hurghada,Grilled Calamari,Squid with lemon and herbs,Main Dish,6,Dinner
Egypt,Hurghada,Koshari,"Street-style mix of lentils, rice, and pasta",Street Food,2,Lunch
Egypt,Hurghada,Qamar El Din,Apricot juice thickened into a pudding,Dessert,2,Snack
Egypt,Hurghada,Sobia,Sweet coconut and milk drink,Dessert,1,Snack
Egypt,Luxor,Foul,Fava bean stew with cumin and garlic,Breakfast Dish,1,Breakfast
Egypt,Luxor,Aish Baladi,Traditional Egyptian flatbread,Breakfast Dish,1,Breakfast
Egypt,Luxor,Fatet Goulash,Layered pastry with meat and broth,Main Dish,4,Dinner
Egypt,Luxor,Kebab,Grilled meat skewers with spices,Main Dish,5,Dinner
Egypt,Luxor,Roz Meammar,Baked rice with milk and cream,Main Dish,3,Dinner
Egypt,Luxor,Bamia,Okra stew with lamb or beef,Main Dish,4,Lunch
Egypt,Luxor,Sogo’,Spicy sausage with bread,Street Food,2,Lunch
