Country,City,Scam Type,Description,Location,Prevention Tips,,,
Egypt,Giza,Fake Tourist Police,Impersonators claim to be police and demand passports or fines.,"Cairo, ",Carry passport copies. Politely refuse and call hotline (126).,,,
Egypt,various,Camel Ride Scam,"Low quotes for camel rides near the Pyramids, but operators demand extra to let tourists dismount.",Giza Plateau,Confirm the full price (and ride duration) beforehand.,,,
Egypt,various,Papyrus Shop Scam,"Guides take tourists to fake papyrus shops, where overpriced or counterfeit papyrus is sold.","Cairo (Khan El Khalili, Pyramids)",Buy only from certified shops. Research reputable sellers in advance.,,,
Egypt,various,Felucca Overcharge,"Operators demand extra charges mid-trip for unexpected ""fees.""","Aswan, Luxor, Nile River",Confirm full cost in writing beforehand.,,,
Egypt,various,Overzealous Tipping,"Locals demand tips after unsolicited help, often aggressively.",All tourist-heavy areas,Avoid accepting unnecessary help. Keep small bills for tips.,,,
Egypt,various,Taxi Meter Scam,Drivers refuse to use the meter or take long detours to increase fares.,"Cairo, Alexandria, Sharm El-Sheikh",Use ride-hailing apps like Uber or Careem. Agree on a price if no meter is available.,,,
Egypt,various,Tomb Keyholder Scam,"Unofficial guides charge for ""special access,"" then demand extra fees or tips.",Luxor (Valley of the Kings),Avoid unofficial guides; stick to government-authorized guides.,,,
Egypt,various,Fake Guides,"Fake tour guides approach tourists offering assistance, then demand payment or offer inaccurate information.","Luxor, Cairo, Aswan",Hire licensed guides only. Verify ID or ask hotels to recommend guides.,,,
Egypt,various,Photo Opportunity Charges,"Locals charge for taking photos of or with them, even after they’ve volunteered.","Cairo (Pyramids, Khan El Khalili), Aswan",Ask explicitly if a photo is free. Carry small change if you decide to pay.,,,
Egypt,various,"""Broken"" Taxi Meter",Drivers claim the meter is broken to charge exorbitant prices.,"Cairo, Luxor","Use Uber or Careem. If using taxis, negotiate the fare upfront.",,,
Egypt,various,Horse-Drawn Carriage Scam,Drivers quote a low fare but demand a higher amount after the ride.,"Luxor, Aswan",Confirm the fare in advance and pay after the ride.,,,
Egypt,various,"Fake ""Souvenir Sellers""","Sellers offer free trinkets or ""gifts,"" then demand payment afterward.",Tourist attractions across Egypt,Politely decline offers of free gifts.,,,
