Country,Question,Answer
Bahrain,Do I need a visa for Bahrain?,"Many travelers can apply for an eVisa or Visa on Arrival, allowing 14 to 30 days of stay."
Bahrain,What is a letter of invitation for a visa?,A document from a host (business or individual) in Bahrain confirming the purpose of your visit. It may be required for certain visa types.
Bahrain,Do I need a transit visa for a layover?,"If staying less than 24 hours and not leaving the airport, you do not need a transit visa."
Bahrain,How do I apply for a Bahraini visa?,"Apply for an eVisa online, get a Visa on Arrival, or apply at a Bahraini embassy."
Bahrain,What documents are required?,"A passport valid for 6 months, visa form, passport-sized photo, return flight, and proof of funds."
Bahrain,How long does visa processing take?,"E-Visa: 3-5 days, Visa on Arrival: Immediate, Embassy visa: 7-10 days."
Bahrain,How much does a Bahraini visa cost?,"eVisa: $77 USD, Visa on Arrival: $30-$50 USD."
Bahrain,Which nationalities can enter Bahrain visa-free?,"Visa-free for GCC nationals (Saudi Arabia, UAE, Kuwait, Oman, Qatar). Other travelers require an eVisa or Visa on Arrival."
Egypt,Do I need a visa to enter Egypt?,"Most travelers need a visa. Citizens of the US, UK, EU, Australia, and Canada can get a visa on arrival for 30 days or apply for an e-Visa in advance."
Egypt,How much does the Egypt visa cost?,"The visa on arrival costs $25 USD for a single entry. The e-Visa costs $25-$60 USD, depending on the type."
Egypt,Do I need a visa to visit Egypt?,"Most travelers need a visa. US, UK, Canada, Australia, and EU citizens can get a Visa on Arrival ($25 USD for 30 days) or apply for an e-Visa online."
Egypt,Can I extend my Egyptian visa?,"Yes, you can extend your visa at the Mugamma Office in Cairo or local immigration offices."
Egypt,Do I need proof of accommodation?,"Yes, immigration may ask for proof of hotel booking or an invitation letter if staying with friends/family."
Egypt,Are there any entry restrictions?,"Travelers with Israeli stamps in their passport are usually allowed, but may face extra questioning."
Egypt,What is an eVisa?,Egypt offers an eVisa that travelers can apply for online before arrival. It allows a 30-day stay and costs $25 USD.
Egypt,Do I need a transit visa for a layover?,"If staying less than 6 hours, you do not need a transit visa. For layovers between 6-48 hours, you may need one."
Egypt,Can my visa be revoked once it's been issued?,"Yes. If immigration finds incorrect information or if you violate entry conditions, your visa can be revoked."
Egypt,How do I apply for an Egyptian visa?,"You can apply online for an eVisa, get a visa on arrival, or apply at an Egyptian embassy/consulate."
Egypt,What documents are required?,"A valid passport (6 months minimum validity), eVisa form (if applying online), recent passport photo, travel itinerary, proof of accommodation, and visa fee payment."
Egypt,How long does visa processing take?,"E-Visa: 3-7 business days, Embassy visa: 10-15 business days, Visa on arrival: Immediate at the airport."
Egypt,How much does an Egyptian visa cost?,"$25 USD for a single-entry visa, $60 USD for a multiple-entry visa."
Egypt,Which nationalities can enter Egypt visa-free?,"Visa-free for 90 days: GCC countries (UAE, Saudi Arabia, Bahrain, Kuwait, Oman). Visa-free for 3 months: Malaysia, Hong Kong. Visa-free for 14 days: Lebanon, Jordan (under certain conditions)."
Greece,Do I need a visa for Greece?,"Greece follows Schengen Visa rules: Visa-free for up to 90 days for many travelers, visa required for others."
Greece,Do I need a visa for Greece?,"Schengen Visa rules apply. US, UK, Canada, and Australia can enter visa-free for 90 days."
